Date,Close,High,Low,Open,Volume
2022-01-03,178.2703094482422,179.12244407617163,174.05867174915193,174.17620137564992,104487900
2022-01-04,176.00779724121094,179.1812320747434,175.43971239750775,178.8776038701533,99310400
2022-01-05,171.32598876953125,176.46811917460536,171.0517430102158,175.91962765597447,94537600
2022-01-06,168.46600341796875,171.69820298422886,168.11339955718992,169.15161788468467,96904000
2022-01-07,168.6325225830078,170.56204734848285,167.51594608963487,169.33773036253552,86709100
2022-01-10,168.652099609375,168.95572780142643,164.7146923768041,165.60599864366586,106765600
2022-01-11,171.4827117919922,171.58064816981238,167.31024547595837,168.77942565072325,76138300
2022-01-12,171.92347717285156,173.53956952156884,171.22807353490404,172.50135116951776,74805200
2022-01-13,168.652099609375,172.9910714162829,168.26030924441002,172.16833406776786,84505800
2022-01-14,169.51402282714844,170.20942643626557,167.57469415475944,167.8195575274604,80440800
2022-01-18,166.3112030029297,168.99489595879072,165.9292167455851,167.9860600754121,90956700
2022-01-19,162.8145294189453,167.56488423888524,162.53049451772475,166.5070728064469,94815000
2022-01-20,161.12986755371094,166.19363965286126,160.8066461501134,163.54911855874857,91420500
2022-01-21,159.07302856445312,162.9124840575923,158.96528809380473,161.0417244969125,122848900
2022-01-24,158.2992401123047,158.9652761385697,151.521424960607,156.7321237742352,162294600
2022-01-25,156.4970703125,159.41583739515477,153.79378418345803,155.71350456711474,115798400
2022-01-26,156.40890502929688,161.01233270214277,154.57733208034693,160.14061983418955,108275300
2022-01-27,155.9485626220703,160.47363228871149,155.02787408749768,159.11219273840805,121954600
2022-01-28,166.83029174804688,166.8498849998228,159.45500918063075,162.30522203050273,179935700
2022-01-31,171.1888427734375,171.40432369026982,166.02711981248893,166.66377341050108,115541600
2022-02-01,171.02236938476562,171.2476394960686,168.76962343591478,170.43469133018758,86213900
2022-02-02,172.22711181640625,172.26629832848187,169.76868874093756,171.1595110141142,84914300
2022-02-03,169.3474884033203,172.618874147118,168.58351594007854,170.89502658265624,89418100
2022-02-04,169.06309509277344,170.74010088602927,167.3860892995176,168.3667905913057,82465400
2022-02-07,168.34718322753906,170.5929825465771,167.65087874308003,169.52402175607514,77251200
2022-02-08,171.4560089111328,171.9659777736799,168.12161553517308,168.41582891603926,74829200
2022-02-09,172.8780517578125,173.24090650856255,171.52467895767091,172.65249461256113,71285000
2022-02-10,168.7982940673828,172.09345086021537,168.23930213729957,170.77931477893978,90865900
2022-02-11,165.38548278808594,169.7397993797007,164.79705596488338,169.0042733328554,98670700
2022-02-14,165.620849609375,166.3073375649639,163.34561528306318,164.1399809862671,86185500
2022-02-15,169.45538330078125,169.61229911156767,166.96440840288716,167.67051458711066,62527400
2022-02-16,169.22003173828125,169.99477926994211,166.76827820676257,168.5335437423192,61177400
2022-02-17,165.620849609375,168.59237351767158,165.21875846241755,167.7293515367512,69589300
2022-02-18,164.0713348388672,167.24879755806595,162.98275576839345,166.54270637048876,82772700
2022-02-22,161.1488800048828,163.4731378050802,159.02074455035495,161.7961316314083,91162800
2022-02-23,156.9808349609375,162.94348458293908,156.6670034206682,162.3452563030733,90009200
2022-02-24,159.59930419921875,159.70718192000658,149.06656887940355,149.63537731952917,141147500
2022-02-25,161.6686248779297,161.9334034703252,157.76542269815738,160.6781069290293,91974200
2022-02-28,161.93336486816406,162.2275781983388,159.29527644930639,159.9131229462421,95056600
2022-03-01,160.05047607421875,163.38487003337303,158.8442174624351,161.52152827152648,83474400
2022-03-02,163.3455810546875,164.13014496709349,159.80524930667454,161.21746135614293,79724800
2022-03-03,163.02197265625,165.65025991761865,162.35510295615475,165.21874895199736,76678400
2022-03-04,160.02101135253906,162.3550849729684,158.9716688608393,161.31554410601458,83737200
2022-03-07,156.2257080078125,161.8353202073776,155.9707161123603,160.2073525837716,96418800
2022-03-08,154.401611328125,159.73662866525098,152.7932618336368,155.75498387793954,131148300
2022-03-09,159.80528259277344,160.2564117997747,156.33360638496927,158.36365040568722,91454900
2022-03-10,155.46078491210938,157.29469168011647,152.96979505950804,157.10835602606574,105342000
2022-03-11,151.74392700195312,156.20612146979485,151.51836986465503,155.86286998599314,96970100
2022-03-14,147.7132568359375,151.14571212531354,147.20330282439596,148.52724088599334,108732100
2022-03-15,152.09695434570312,152.56770172333492,147.47785980558257,147.9878136848799,92964300
2022-03-16,156.5101318359375,156.9122229988077,151.4791438617729,154.01915688013034,102300200
2022-03-17,157.52024841308594,157.89291972026123,154.58796090972857,155.54904405714797,75615400
2022-03-18,160.81539916992188,161.30574983268542,156.67683837905244,157.41236437319773,123511700
2022-03-21,162.18841552734375,163.1396971599505,159.86414284434693,160.35449358427547,95811400
2022-03-22,165.56198120117188,166.15039293346567,161.72743597716038,162.31584770945418,81532000
2022-03-23,166.9251708984375,169.30826781804822,164.41456305995604,164.74801286692667,98062700
2022-03-24,170.710693359375,170.77933467330854,166.92518550141648,167.75877268098228,90131400
2022-03-25,171.34815979003906,171.89735021175125,169.4161767223122,170.52437415747076,80546200
2022-03-28,172.21119689941406,172.33867792424036,168.68066535964775,168.84738282620364,90371900
2022-03-29,175.50631713867188,175.55534023387025,172.93686947046768,173.28012092274494,100589400
2022-03-30,174.3392791748047,176.14376602591867,173.289921571538,175.1042250130881,92633200
2022-03-31,171.24024963378906,174.59424618696573,171.0342957824536,174.40791055107027,103049300
2022-04-01,170.946044921875,171.5050518578882,168.62178757896973,170.67144974905557,78751300
2022-04-04,174.99632263183594,175.04536068416874,171.0735178742133,171.20101381741605,76468400
2022-04-05,171.6815948486328,174.85907295980758,171.0539465140656,174.07450880051937,73401800
2022-04-06,168.51390075683594,170.27916603294383,166.8467115933005,169.0336712319797,89058800
2022-04-07,168.81793212890625,170.01438898962488,166.57213259059588,167.85684898260146,77594700
2022-04-08,166.80747985839844,168.4648674430598,165.93465630346196,168.4648674430598,76575500
2022-04-11,162.5512237548828,165.76792249086608,162.3060484551017,165.45410588858888,72246700
2022-04-12,164.42437744140625,166.59171885387798,163.4240579625581,164.77743049486364,79265200
2022-04-13,167.1115264892578,167.73917483894797,163.55159028656504,164.15962041661322,70618900
2022-04-14,162.10012817382812,167.96473333287506,161.85495282329552,167.32726844290085,75329400
2022-04-18,161.8843536376953,163.3848252707186,160.41330184341265,160.75653828349098,69023900
2022-04-19,164.1693878173828,164.58129552240263,160.7467499371193,161.8353289533827,67723800
2022-04-20,164.002685546875,165.62085178233113,162.89450317699752,165.50315744246095,67929800
2022-04-21,163.2082977294922,168.21968163880754,162.70814548680565,165.65024919174274,87227800
2022-04-22,158.6676483154297,164.63031369845396,158.38325153783305,163.2475363117759,84882400
2022-04-25,159.7366485595703,160.02104538080667,155.40195017437114,158.01060452122857,96046400
2022-04-26,153.77398681640625,159.20706614015833,153.69552890649263,159.11880660312406,95623200
2022-04-27,153.5483856201172,156.7062295432353,152.38134886202627,152.9011192722885,88063200
2022-04-28,160.48196411132812,161.3449860653006,155.862854289535,156.17668589618484,130216800
2022-04-29,154.60755920410156,162.9925585964128,154.21528465651994,158.7167001847882,131747600
2022-05-02,154.91159057617188,155.17636916422146,150.31209888761785,153.68571389859628,123055300
2022-05-03,156.40225219726562,157.60852567132414,153.30324720330452,155.09791756360522,88966500
2022-05-04,162.81602478027344,163.267138972668,156.18647479117334,156.58856589280018,108256500
2022-05-05,153.74453735351562,160.91346101284063,151.95965391653039,160.68790391798768,130525300
